-0.01045	-11.71155
-0.0071	9.4656
-0.00688	15.19064
-0.00645	30.8661
-0.00604	54.07233
-0.00565	87.63047
-0.00527	134.9903
-0.00491	200.14098
-0.00457	287.37239
-0.00425	400.85027
-0.00394	544.00568
-0.00364	718.80466
-0.00336	925.04481
-0.0031	1159.88405
-0.00285	1417.79762
-0.00261	1691.05604
-0.00239	1970.648
-0.00218	2247.41778
-0.00198	2513.12711
-0.0018	2761.21098
-0.00163	2987.12996
-0.00147	3188.35449
-0.00132	3364.09545
-0.00118	3514.91224
-0.00105	3642.30325
-9.2845E-4	3748.3432
-8.18864E-4	3835.39521
-7.18406E-4	3905.90051
-6.26677E-4	3962.23619
-5.43281E-4	4006.62629
-4.67821E-4	4041.09212
-3.99901E-4	4067.42988
-3.39123E-4	4087.20637
-2.85091E-4	4101.76622
-2.37408E-4	4112.246
-1.95677E-4	4119.59221
-1.59501E-4	4124.581
-1.28484E-4	4127.83842
-1.02228E-4	4129.8602
-8.03375E-5	4131.03069
-6.2415E-5	4131.64048
-4.80637E-5	4131.90272
-3.6887E-5	4131.9678
-2.84879E-5	4131.93657
-2.24696E-5	4131.87192
-1.84354E-5	4131.80884
-1.59884E-5	4131.76285
-1.47318E-5	4131.73697
-1.42689E-5	4131.72705
-1.42027E-5	4131.72561
-1.4148E-5	4131.72442
-1.37652E-5	4131.71601
-1.27259E-5	4131.69247
-1.07021E-5	4131.64361
-7.36562E-6	4131.55434
-2.3882E-6	4131.40105
4.55832E-6	4131.14683
1.38021E-5	4130.7358
2.56714E-5	4130.0863
4.04942E-5	4129.08316
5.85989E-5	4127.56898
8.03136E-5	4125.33445
1.05967E-4	4122.10785
1.35886E-4	4117.54383
1.704E-4	4111.21151
2.09836E-4	4102.58224
2.54524E-4	4091.0173
3.0479E-4	4075.75584
3.60964E-4	4055.90382
4.23373E-4	4030.42471
4.92346E-4	3998.1331
5.68211E-4	3957.69285
6.51295E-4	3907.62219
7.41928E-4	3846.3086
8.40438E-4	3772.03791
9.47151E-4	3683.04262
0.00106	3577.57595
0.00119	3454.01827
0.00132	3311.02183
0.00146	3147.69641
0.00162	2963.83079
0.00178	2760.13353
0.00195	2538.4592
0.00214	2301.9692
0.00233	2055.16407
0.00254	1803.72849
0.00276	1554.15895
0.00299	1313.19661
0.00323	1087.15152
0.00349	881.2514
0.00376	699.15399
0.00404	542.71956
0.00433	412.06536
0.00465	305.84976
0.00497	221.68918
0.00531	156.60418
0.00566	107.4149
0.00585	87.80884
0.00797	-0.06284
0.01009	-10.86199
